DETERMINACIÓN,UNIDAD,LÍMITE DE CUANTIFICACIÓN,TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,VALOR
Oxígeno,mg/l,≥ 0.1,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,0.9
Sólidos Disueltos Totales ,mg/l NaCl,≥  1,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,847
DQO  ,mg O2/l,≥  50,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,64
DBO5 ,mg O2/l,≥  5,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,8
Arsénico total,µg/l,≥ 4,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,20
Coliformes Fecales ,UFC/100 ml,≥1,Riachuelo ,Puente La Noria,34705115,5846104,2024-01-09 00:00:00,240000
Oxígeno,mg/l,≥ 0.1 ,Riachuelo ,Puente Alsina,34659538,58416509,2024-01-09 00:00:00,2
Sólidos Disueltos Totales ,mg/l NaCl,≥  1,Riachuelo ,Puente Alsina,34659538,58416509,2024-01-09 00:00:00,816
DQO  ,mg O2/l,≥  50 ,Riachuelo ,Puente Alsina,34659538,58416509,2024-01-09 00:00:00,51
DBO5 ,mg O2/l,≥  5,Riachuelo ,Puente Alsina,34659538,58416509,2024-01-09 00:00:00,9
