TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,arsénico total,coliformes fecales,dbo5,dqo,oxígeno,sólidos disueltos totales
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-02-19,22.0,220000.0,67.0,160.0,1.7000000000000002,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-04-24,18.666666666666668,220000.0,67.0,160.0,1.4333333333333336,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-07-16,11.0,280000.0,43.5,97.67766952966369,0.5000000000000004,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-10-16,12.0,280000.0,43.5,97.67766952966369,0.09999999999999964,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-03-19,12.0,280000.0,43.5,97.67766952966369,7.1,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-04-23,9.0,340000.0,20.0,35.35533905932737,0.39999999999999947,395.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-07-15,25.0,220000.0,67.0,160.0,1.7000000000000002,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-11-11,7.0,280000.0,43.5,97.67766952966369,2.3,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2026-03-03,6.0,280000.0,43.5,97.67766952966369,0.009999999999999787,458.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-03-06,14.0,32000.0,19.0,35.35533905932737,2.2,309.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-06-03,17.0,3800.0,9.0,35.35533905932737,0.8999999999999999,471.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-07-23,13.0,17900.00000000006,14.0,35.35533905932737,5.2,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-11-19,20.0,17900.00000000006,14.0,35.35533905932737,1.9,444.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-03-12,22.0,17900.00000000006,14.0,35.35533905932737,6.4,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-05-20,15.5,17900.00000000006,14.0,35.35533905932737,1.1,418.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-08-05,17.0,17900.00000000006,14.0,35.35533905932737,4.0,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-10-21,21.0,17900.00000000006,14.0,35.35533905932737,2.5,444.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2026-03-11,14.0,17900.00000000006,14.0,35.35533905932737,1.7999999999999998,363.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-02-20,16.0,250000.0,55.0,147.0,1.1,603.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-06-04,12.0,410000.0,47.0,100.0,0.2999999999999998,745.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-07-31,11.0,295000.0,32.5,83.5,0.5000000000000004,818.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-10-29,15.0,330000.0,51.0,123.5,1.1,674.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-03-11,12.0,330000.0,51.0,123.5,7.1,674.0
